CI_stem,N12,No of mistletoes,Stand,ID,DBH,Distance from infected stem,Infected,Max_size of mistletoe,Min distance to mistletoe 120cm in diameter,Min distance to mistletoe 100cm in diameter,Min distance to mistletoe 50cm in diameter,Min distance to mistletoe
5.7318169,35,0,äobes,981,26,1.7167,0,0,32.80838,19.8376,2.97824,1.7167
2.656104177,23,0,äobes,1003,31,5.14651,0,0,34.81321,5.14651,5.14651,5.14651
4.446108116,39,0,äobes,1051,24,11.80438,0,0,38.72804,27.88495,15.71357,11.80438
6.043504413,35,0,äobes,980,24,2.45777,0,0,33.61306,19.65332,3.17422,2.45777
5.933431736,37,0,äobes,979,24,2.26094,0,0,33.77416,20.51064,3.98847,2.26094
6.403567145,39,0,äobes,985,23,2.65353,0,0,33.63945,14.73988,2.65353,2.65353
5.395094665,36,0,äobes,993,26,5.143,0,0,33.93801,11.9975,5.143,5.143
8.384922896,69,0,äobes,1042,20,18.90732,0,0,45.50439,22.24876,18.90732,18.90732
4.680351729,32,0,äobes,994,28,5.71544,0,0,34.22416,11.4424,5.71544,5.71544
4.832772936,40,0,äobes,984,30,2.88714,0,0,34.05729,14.75418,2.88714,2.88714
11.77555062,66,0,äobes,1045,15,17.02076,0,0,44.62482,22.45053,18.45794,17.02076
5.75886048,33,0,äobes,995,24,5.80228,0,0,34.74881,11.5131,5.80228,5.80228
6.893871421,66,0,äobes,1044,25,16.85912,0,0,44.95863,22.07402,18.07032,16.85912
4.573790859,34,0,äobes,992,29,5.58658,0,0,34.96122,11.86965,5.58658,5.58658
8.584958586,64,0,äobes,1043,20,16.56666,0,0,45.423,21.53103,17.48664,16.56666
2.628683062,28,2,äobes,1441,36,3.85471,1,100,38.88717,30.95247,3.85471,3.85471
6.807844928,50,0,äobes,1046,20,13.07035,0,0,43.37266,23.07363,17.85125,13.07035
6.936516865,20,0,äobes,1442,14,1.36783,0,0,40.03433,1.36783,1.36783,1.36783
5.941631367,35,0,äobes,986,22,4.14053,0,0,36.0822,16.14348,4.14053,4.14053
6.300671083,50,0,äobes,1047,22,12.90414,0,0,43.26789,22.23627,17.01358,12.90414
9.582517188,34,0,äobes,987,14,4.605,0,0,36.564,16.27577,4.605,4.605
7.650384907,65,0,äobes,1039,22,16.02332,0,0,46.02024,19.52271,16.02332,16.02332
3.844616614,19,0,äobes,1443,26,1.3152,0,0,41.31269,2.67329,1.3152,1.3152
5.595198896,35,0,äobes,988,22,5.21613,0,0,37.03679,16.36999,5.21613,5.21613
8.712959753,59,0,äobes,1040,19,15.48201,0,0,45.35506,19.168,15.48201,15.48201
11.03443798,21,0,äobes,1440,10,1.90628,0,0,40.75251,1.90628,1.90628,1.90628
5.67882072,32,0,äobes,989,18,6.33713,0,0,36.36693,19.68482,6.33713,6.33713
7.040948559,56,0,äobes,1041,22,15.0029,0,0,45.27004,18.51845,15.0029,15.0029
4.019716067,19,0,äobes,1444,26,0.58168,0,0,42.05386,3.35524,0.58168,0.58168
2.862433344,23,0,äobes,1439,34,2.45126,0,0,41.17614,2.47317,2.45126,2.45126
5.459125324,43,0,äobes,1048,24,11.28349,0,0,41.53472,21.66671,16.00878,11.28349
3.307767298,37,0,äobes,991,25,7.36047,0,0,36.65544,26.40601,11.23662,7.36047
3.737093174,19,3,äobes,1445,27,3.85471,1,60,42.19303,3.85471,3.85471,3.85471
8.316372679,43,0,äobes,1049,16,10.80122,0,0,40.99118,21.47979,15.69073,10.80122
6.129585248,46,0,äobes,1050,22,11.34119,0,0,41.21415,20.92809,15.28654,11.34119
3.418582958,26,0,äobes,1446,30,1.95227,0,0,40.31112,4.40571,1.95227,1.95227
6.455489815,32,0,äobes,990,13,7.72248,0,0,34.15516,22.91669,9.81084,7.72248
2.216851568,26,0,äobes,1618,27,17.03525,0,0,53.82572,22.2596,17.09257,17.03525
8.250727304,67,0,äobes,1028,18,13.98559,0,0,40.05668,13.98559,13.98559,13.98559
2.882515133,22,0,äobes,1619,21,16.33077,0,0,53.24155,22.54088,16.33077,16.33077
5.709329707,32,0,äobes,1004,18,3.45155,0,0,32.60571,17.38081,9.67376,3.45155
6.066878095,56,0,äobes,1025,25,10.8727,0,0,40.9811,15.51296,10.8727,10.8727
7.06296819,57,0,äobes,1026,22,10.93561,0,0,40.53763,15.87305,10.93561,10.93561
2.557642372,25,0,äobes,69,16,2.66922,0,0,58.33086,20.48039,12.15982,2.66922
2.417745321,23,0,äobes,1463,28,12.49252,0,0,48.30762,17.83268,12.49252,12.49252
4.552940297,58,0,äobes,1144,15,6.42007,0,0,37.08612,6.42007,6.42007,6.42007
6.761787147,29,0,äobes,1454,18,4.57596,0,0,40.26772,8.57704,4.74863,4.57596
4.352477933,29,0,äobes,1453,26,4.61389,0,0,40.44041,9.3017,5.45365,4.61389
4.549378765,30,0,äobes,1452,27,3.8092,0,0,39.5782,9.20048,5.41536,3.8092
